ID,Front Camera,Rear Camera,Camera,Type
1,7,12,0.0546875,Sensible
19,7,12,0.0546875,Sensible
37,7,12,0.0546875,Sensible
45,7,12,0.0546875,Sensible
69,7,12,0.0546875,Sensible
81,7,12,0.0546875,Sensible
140,7,12,0.0546875,Sensible
159,7,12,0.0546875,Sensible
164,7,12,0.0546875,Sensible
167,7,12,0.0546875,Sensible
172,7,12,0.0546875,Sensible
201,7,12,0.0546875,Sensible
214,7,12,0.0546875,Sensible
245,7,12,0.0546875,Sensible
253,7,12,0.0546875,Sensible
277,7,12,0.0546875,Sensible
304,7,12,0.0546875,Sensible
324,7,12,0.0546875,Sensible
334,7,12,0.0546875,Sensible
344,7,12,0.0546875,Sensible
349,7,12,0.0546875,Sensible
376,7,12,0.0546875,Sensible
382,7,12,0.0546875,Sensible
405,7,12,0.0546875,Sensible
464,7,12,0.0546875,Sensible
468,7,12,0.0546875,Sensible
521,7,12,0.0546875,Sensible
568,7,12,0.0546875,Sensible
604,7,12,0.0546875,Sensible
611,7,12,0.0546875,Sensible
638,7,12,0.0546875,Sensible
650,7,12,0.0546875,Sensible
729,7,12,0.0546875,Sensible
2,8,12,0.0625,Sensible
107,8,12,0.0625,Sensible
184,8,12,0.0625,Sensible
189,8,12,0.0625,Sensible
232,8,12,0.0625,Sensible
260,8,12,0.0625,Sensible
265,8,12,0.0625,Sensible
350,8,12,0.0625,Sensible
351,8,12,0.0625,Sensible
361,8,12,0.0625,Sensible
395,8,12,0.0625,Sensible
409,8,12,0.0625,Sensible
437,8,12,0.0625,Sensible
445,8,12,0.0625,Sensible
455,8,12,0.0625,Sensible
498,8,12,0.0625,Sensible
549,8,12,0.0625,Sensible
555,8,12,0.0625,Sensible
570,8,12,0.0625,Sensible
624,8,12,0.0625,Sensible
629,8,12,0.0625,Sensible
677,8,12,0.0625,Sensible
691,8,12,0.0625,Sensible
695,8,12,0.0625,Sensible
712,8,12,0.0625,Sensible
718,8,12,0.0625,Sensible
726,8,12,0.0625,Sensible
730,8,12,0.0625,Sensible
3,5,16,0.052083333333333336,Sensible
23,5,16,0.052083333333333336,Sensible
25,5,16,0.052083333333333336,Sensible
102,5,16,0.052083333333333336,Sensible
247,5,16,0.052083333333333336,Sensible
338,5,16,0.052083333333333336,Sensible
380,5,16,0.052083333333333336,Sensible
4,8,12,0.0625,Sensible
26,8,12,0.0625,Sensible
49,8,12,0.0625,Sensible
80,8,12,0.0625,Sensible
129,8,12,0.0625,Sensible
151,8,12,0.0625,Sensible
180,8,12,0.0625,Sensible
209,8,12,0.0625,Sensible
280,8,12,0.0625,Sensible
314,8,12,0.0625,Sensible
321,8,12,0.0625,Sensible
325,8,12,0.0625,Sensible
347,8,12,0.0625,Sensible
356,8,12,0.0625,Sensible
384,8,12,0.0625,Sensible
417,8,12,0.0625,Sensible
421,8,12,0.0625,Sensible
462,8,12,0.0625,Sensible
476,8,12,0.0625,Sensible
478,8,12,0.0625,Sensible
500,8,12,0.0625,Sensible
504,8,12,0.0625,Sensible
512,8,12,0.0625,Sensible
600,8,12,0.0625,Sensible
